item_name,text,type,answers,optional,values,side_by_side,btn_width,score:sfs_total,shuffle_question,
Instructions,<h2><span><b>State Frustration Scale</b></span></h2><br><br><h6><b>INSTRUCTIONS: </b></h6>Read each statement below and select the appropriate response to indicate how much you agree or disagree with it in relation to your experience while completing the previous task. There are no right or wrong answers. Do not spend too much time on any one statement but give the answer which seems to describe your present feelings best.<br/><br/>,instruct,,,,,,,,
sfs_1,I felt frustrated while doing the task.,likert,Strongly Disagree|Disagree|Slightly Disagree|Neither Agree Nor Disagree|Slightly Agree|Agree|Strongly Agree,No,1|2|3|4|5|6|7,no,150px,1,on,
sfs_2,I felt annoyed by the task.,likert,Strongly Disagree|Disagree|Slightly Disagree|Neither Agree Nor Disagree|Slightly Agree|Agree|Strongly Agree,No,1|2|3|4|5|6|7,no,150px,1,on,
sfs_3,I wanted to quit the task.,likert,Strongly Disagree|Disagree|Slightly Disagree|Neither Agree Nor Disagree|Slightly Agree|Agree|Strongly Agree,No,1|2|3|4|5|6|7,no,150px,1,on,
sfs_4,I felt irritated with my progress.,likert,Strongly Disagree|Disagree|Slightly Disagree|Neither Agree Nor Disagree|Slightly Agree|Agree|Strongly Agree,No,1|2|3|4|5|6|7,no,150px,1,on,
sfs_5,The task stopped me from doing what I intended.,likert,Strongly Disagree|Disagree|Slightly Disagree|Neither Agree Nor Disagree|Slightly Agree|Agree|Strongly Agree,No,1|2|3|4|5|6|7,no,150px,1,on,
sfs_6,I felt physically tense as while doing the task.,likert,Strongly Disagree|Disagree|Slightly Disagree|Neither Agree Nor Disagree|Slightly Agree|Agree|Strongly Agree,No,1|2|3|4|5|6|7,no,150px,1,on,
sfs_7,I kept thinking the task was unfair.,likert,Strongly Disagree|Disagree|Slightly Disagree|Neither Agree Nor Disagree|Slightly Agree|Agree|Strongly Agree,No,1|2|3|4|5|6|7,no,150px,1,on,
sfs_8,I tried to hide my frustration.,likert,Strongly Disagree|Disagree|Slightly Disagree|Neither Agree Nor Disagree|Slightly Agree|Agree|Strongly Agree,No,1|2|3|4|5|6|7,no,150px,1,on,
sfs_9,I kept thinking the task didn’t make sense.,likert,Strongly Disagree|Disagree|Slightly Disagree|Neither Agree Nor Disagree|Slightly Agree|Agree|Strongly Agree,No,1|2|3|4|5|6|7,no,150px,1,on,
,,,,,,,,,,
